hourDayID	monthID	yearID	ageID	zoneID	sourceTypeID	starts	StartsCV	isUserInput
12	1	2017	0	261630	11	10	0.5	Y
22	1	2017	0	261630	11	10	0.5	Y
32	1	2017	0	261630	11	10	0.5	Y
42	1	2017	0	261630	11	10	0.5	Y
52	1	2017	0	261630	11	10	0.5	Y
62	1	2017	0	261630	11	10	0.5	Y
72	1	2017	0	261630	11	30	0.5	Y
82	1	2017	0	261630	11	30	0.5	Y
92	1	2017	0	261630	11	30	0.5	Y
102	1	2017	0	261630	11	30	0.5	Y
112	1	2017	0	261630	11	30	0.5	Y
122	1	2017	0	261630	11	30	0.5	Y
132	1	2017	0	261630	11	30	0.5	Y
142	1	2017	0	261630	11	30	0.5	Y
152	1	2017	0	261630	11	30	0.5	Y
162	1	2017	0	261630	11	30	0.5	Y
172	1	2017	0	261630	11	30	0.5	Y
182	1	2017	0	261630	11	30	0.5	Y
192	1	2017	0	261630	11	30	0.5	Y
202	1	2017	0	261630	11	10	0.5	Y
212	1	2017	0	261630	11	10	0.5	Y
222	1	2017	0	261630	11	10	0.5	Y
232	1	2017	0	261630	11	10	0.5	Y
242	1	2017	0	261630	11	10	0.5	Y
15	1	2017	0	261630	11	10	0.5	Y
25	1	2017	0	261630	11	10	0.5	Y
35	1	2017	0	261630	11	10	0.5	Y
45	1	2017	0	261630	11	10	0.5	Y
55	1	2017	0	261630	11	10	0.5	Y
65	1	2017	0	261630	11	10	0.5	Y
75	1	2017	0	261630	11	30	0.5	Y
85	1	2017	0	261630	11	30	0.5	Y
95	1	2017	0	261630	11	30	0.5	Y
105	1	2017	0	261630	11	30	0.5	Y
115	1	2017	0	261630	11	30	0.5	Y
125	1	2017	0	261630	11	30	0.5	Y
135	1	2017	0	261630	11	30	0.5	Y
145	1	2017	0	261630	11	30	0.5	Y
155	1	2017	0	261630	11	30	0.5	Y
165	1	2017	0	261630	11	30	0.5	Y
175	1	2017	0	261630	11	30	0.5	Y
185	1	2017	0	261630	11	30	0.5	Y
195	1	2017	0	261630	11	30	0.5	Y
205	1	2017	0	261630	11	10	0.5	Y
215	1	2017	0	261630	11	10	0.5	Y
225	1	2017	0	261630	11	10	0.5	Y
235	1	2017	0	261630	11	10	0.5	Y
245	1	2017	0	261630	11	10	0.5	Y
12	2	2017	0	261630	11	10	0.5	Y
22	2	2017	0	261630	11	10	0.5	Y
32	2	2017	0	261630	11	10	0.5	Y
42	2	2017	0	261630	11	10	0.5	Y
52	2	2017	0	261630	11	10	0.5	Y
62	2	2017	0	261630	11	10	0.5	Y
72	2	2017	0	261630	11	30	0.5	Y
82	2	2017	0	261630	11	30	0.5	Y
92	2	2017	0	261630	11	30	0.5	Y
102	2	2017	0	261630	11	30	0.5	Y
112	2	2017	0	261630	11	30	0.5	Y
122	2	2017	0	261630	11	30	0.5	Y
132	2	2017	0	261630	11	30	0.5	Y
142	2	2017	0	261630	11	30	0.5	Y
152	2	2017	0	261630	11	30	0.5	Y
162	2	2017	0	261630	11	30	0.5	Y
172	2	2017	0	261630	11	30	0.5	Y
182	2	2017	0	261630	11	30	0.5	Y
192	2	2017	0	261630	11	30	0.5	Y
202	2	2017	0	261630	11	10	0.5	Y
212	2	2017	0	261630	11	10	0.5	Y
222	2	2017	0	261630	11	10	0.5	Y
232	2	2017	0	261630	11	10	0.5	Y
242	2	2017	0	261630	11	10	0.5	Y
15	2	2017	0	261630	11	10	0.5	Y
25	2	2017	0	261630	11	10	0.5	Y
